;Survived;Pclass;Sex;Age;SibSp;Age Group;Parch;Fare Group;Ticket;Fare;Embarked
62;0;1;male;45.0;1;LabelEncoder();0;4_quartile;36973;83.475;S
63;0;3;male;4.0;3;LabelEncoder();2;1_quartile;347088;27.9;S
64;0;1;male;;0;LabelEncoder();0;;PC 17605;27.7208;C
65;1;3;male;;1;LabelEncoder();1;;2661;15.2458;C
66;1;2;female;29.0;0;LabelEncoder();0;3_quartile;C.A. 29395;10.5;S
67;0;3;male;19.0;0;LabelEncoder();0;3_quartile;S.P. 3464;8.1583;S
68;1;3;female;17.0;4;LabelEncoder();2;3_quartile;3101281;7.925;S
69;0;3;male;26.0;2;LabelEncoder();0;3_quartile;315151;8.6625;S
70;0;2;male;32.0;0;LabelEncoder();0;4_quartile;C.A. 33111;10.5;S
71;0;3;female;16.0;5;LabelEncoder();2;3_quartile;CA 2144;46.9;S
72;0;2;male;21.0;0;LabelEncoder();0;3_quartile;S.O.C. 14879;73.5;S
73;0;3;male;26.0;1;LabelEncoder();0;3_quartile;2680;14.4542;C
74;1;3;male;32.0;0;LabelEncoder();0;4_quartile;1601;56.4958;S
75;0;3;male;25.0;0;LabelEncoder();0;3_quartile;348123;7.65;S
76;0;3;male;;0;LabelEncoder();0;;349208;7.8958;S
77;0;3;male;;0;LabelEncoder();0;;374746;8.05;S
78;1;2;male;0.83;0;LabelEncoder();2;1_quartile;248738;29.0;S
79;1;3;female;30.0;0;LabelEncoder();0;3_quartile;364516;12.475;S
80;0;3;male;22.0;0;LabelEncoder();0;3_quartile;345767;9.0;S
81;1;3;male;29.0;0;LabelEncoder();0;3_quartile;345779;9.5;S
82;1;3;female;;0;LabelEncoder();0;;330932;7.7875;Q
83;0;1;male;28.0;0;LabelEncoder();0;3_quartile;113059;47.1;S
84;1;2;female;17.0;0;LabelEncoder();0;3_quartile;SO/C 14885;10.5;S
85;1;3;female;33.0;3;LabelEncoder();0;4_quartile;3101278;15.85;S
86;0;3;male;16.0;1;LabelEncoder();3;3_quartile;W./C. 6608;34.375;S
87;0;3;male;;0;LabelEncoder();0;;SOTON/OQ 392086;8.05;S
88;1;1;female;23.0;3;LabelEncoder();2;3_quartile;19950;263.0;S
89;0;3;male;24.0;0;LabelEncoder();0;3_quartile;343275;8.05;S
90;0;3;male;29.0;0;LabelEncoder();0;3_quartile;343276;8.05;S
91;0;3;male;20.0;0;LabelEncoder();0;3_quartile;347466;7.8542;S
92;0;1;male;46.0;1;LabelEncoder();0;4_quartile;W.E.P. 5734;61.175;S
93;0;3;male;26.0;1;LabelEncoder();2;3_quartile;C.A. 2315;20.575;S
94;0;3;male;59.0;0;LabelEncoder();0;4_quartile;364500;7.25;S
95;0;3;male;;0;LabelEncoder();0;;374910;8.05;S
96;0;1;male;71.0;0;LabelEncoder();0;4_quartile;PC 17754;34.6542;C
97;1;1;male;23.0;0;LabelEncoder();1;3_quartile;PC 17759;63.3583;C
98;1;2;female;34.0;0;LabelEncoder();1;4_quartile;231919;23.0;S
99;0;2;male;34.0;1;LabelEncoder();0;4_quartile;244367;26.0;S
100;0;3;female;28.0;0;LabelEncoder();0;3_quartile;349245;7.8958;S
101;0;3;male;;0;LabelEncoder();0;;349215;7.8958;S
102;0;1;male;21.0;0;LabelEncoder();1;3_quartile;35281;77.2875;S
103;0;3;male;33.0;0;LabelEncoder();0;4_quartile;7540;8.6542;S
104;0;3;male;37.0;2;LabelEncoder();0;4_quartile;3101276;7.925;S
105;0;3;male;28.0;0;LabelEncoder();0;3_quartile;349207;7.8958;S
106;1;3;female;21.0;0;LabelEncoder();0;3_quartile;343120;7.65;S
107;1;3;male;;0;LabelEncoder();0;;312991;7.775;S
108;0;3;male;38.0;0;LabelEncoder();0;4_quartile;349249;7.8958;S
109;1;3;female;;1;LabelEncoder();0;;371110;24.15;Q
110;0;1;male;47.0;0;LabelEncoder();0;4_quartile;110465;52.0;S
111;0;3;female;14.5;1;LabelEncoder();0;2_quartile;2665;14.4542;C
112;0;3;male;22.0;0;LabelEncoder();0;3_quartile;324669;8.05;S
113;0;3;female;20.0;1;LabelEncoder();0;3_quartile;4136;9.825;S
114;0;3;female;17.0;0;LabelEncoder();0;3_quartile;2627;14.4583;C
115;0;3;male;21.0;0;LabelEncoder();0;3_quartile;STON/O 2. 3101294;7.925;S
116;0;3;male;70.5;0;LabelEncoder();0;4_quartile;370369;7.75;Q
117;0;2;male;29.0;1;LabelEncoder();0;3_quartile;11668;21.0;S
118;0;1;male;24.0;0;LabelEncoder();1;3_quartile;PC 17558;247.5208;C
119;0;3;female;2.0;4;LabelEncoder();2;1_quartile;347082;31.275;S
120;0;2;male;21.0;2;LabelEncoder();0;3_quartile;S.O.C. 14879;73.5;S
121;0;3;male;;0;LabelEncoder();0;;A4. 54510;8.05;S
122;0;2;male;32.5;1;LabelEncoder();0;4_quartile;237736;30.0708;C
123;1;2;female;32.5;0;LabelEncoder();0;4_quartile;27267;13.0;S
124;0;1;male;54.0;0;LabelEncoder();1;4_quartile;35281;77.2875;S
125;1;3;male;12.0;1;LabelEncoder();0;2_quartile;2651;11.2417;C
126;0;3;male;;0;LabelEncoder();0;;370372;7.75;Q
127;1;3;male;24.0;0;LabelEncoder();0;3_quartile;C 17369;7.1417;S
128;1;3;female;;1;LabelEncoder();1;;2668;22.3583;C
129;0;3;male;45.0;0;LabelEncoder();0;4_quartile;347061;6.975;S
130;0;3;male;33.0;0;LabelEncoder();0;4_quartile;349241;7.8958;C
131;0;3;male;20.0;0;LabelEncoder();0;3_quartile;SOTON/O.Q. 3101307;7.05;S
132;0;3;female;47.0;1;LabelEncoder();0;4_quartile;A/5. 3337;14.5;S
133;1;2;female;29.0;1;LabelEncoder();0;3_quartile;228414;26.0;S
134;0;2;male;25.0;0;LabelEncoder();0;3_quartile;C.A. 29178;13.0;S
135;0;2;male;23.0;0;LabelEncoder();0;3_quartile;SC/PARIS 2133;15.0458;C
136;1;1;female;19.0;0;LabelEncoder();2;3_quartile;11752;26.2833;S
137;0;1;male;37.0;1;LabelEncoder();0;4_quartile;113803;53.1;S
138;0;3;male;16.0;0;LabelEncoder();0;3_quartile;7534;9.2167;S
139;0;1;male;24.0;0;LabelEncoder();0;3_quartile;PC 17593;79.2;C
140;0;3;female;;0;LabelEncoder();2;;2678;15.2458;C
141;1;3;female;22.0;0;LabelEncoder();0;3_quartile;347081;7.75;S
142;1;3;female;24.0;1;LabelEncoder();0;3_quartile;STON/O2. 3101279;15.85;S
143;0;3;male;19.0;0;LabelEncoder();0;3_quartile;365222;6.75;Q
144;0;2;male;18.0;0;LabelEncoder();0;3_quartile;231945;11.5;S
145;0;2;male;19.0;1;LabelEncoder();1;3_quartile;C.A. 33112;36.75;S
146;1;3;male;27.0;0;LabelEncoder();0;3_quartile;350043;7.7958;S
147;0;3;female;9.0;2;LabelEncoder();2;2_quartile;W./C. 6608;34.375;S
148;0;2;male;36.5;0;LabelEncoder();2;4_quartile;230080;26.0;S
149;0;2;male;42.0;0;LabelEncoder();0;4_quartile;244310;13.0;S
150;0;2;male;51.0;0;LabelEncoder();0;4_quartile;S.O.P. 1166;12.525;S
151;1;1;female;22.0;1;LabelEncoder();0;3_quartile;113776;66.6;S
152;0;3;male;55.5;0;LabelEncoder();0;4_quartile;A.5. 11206;8.05;S
153;0;3;male;40.5;0;LabelEncoder();2;4_quartile;A/5. 851;14.5;S
154;0;3;male;;0;LabelEncoder();0;;Fa 265302;7.3125;S
155;0;1;male;51.0;0;LabelEncoder();1;4_quartile;PC 17597;61.3792;C
